# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,qmc,2048,20,0.7497365091892412,2048,819200,0.7497294702606984,7.038928542812961e-06
0.1,qmc,2048,21,0.7497346595286076,2048,819200,0.7497294702606984,5.189267909266881e-06
0.1,qmc,2048,22,0.7497296275571033,2048,819200,0.7497294702606984,1.5729640490125263e-07
0.1,qmc,2048,23,0.749732675588515,2048,819200,0.7497294702606984,3.2053278166133126e-06
0.1,qmc,2048,24,0.7497273938730291,2048,819200,0.7497294702606984,2.076387669247559e-06
0.1,qmc,2048,25,0.7497285964226832,2048,819200,0.7497294702606984,8.738380151696035e-07
0.1,qmc,2048,26,0.7497334536899793,2048,819200,0.7497294702606984,3.983429280984829e-06
0.1,qmc,2048,27,0.7497357503545998,2048,819200,0.7497294702606984,6.280093901467332e-06
0.1,qmc,2048,28,0.7497304691501645,2048,819200,0.7497294702606984,9.988894661416836e-07
0.1,qmc,2048,29,0.7497369788079185,2048,819200,0.7497294702606984,7.508547220091977e-06
0.1,qmc,2048,30,0.7497252361596625,2048,819200,0.7497294702606984,4.2341010358937226e-06
0.1,qmc,2048,31,0.7497388585226135,2048,819200,0.7497294702606984,9.388261915099783e-06
0.1,qmc,2048,32,0.749736554744729,2048,819200,0.7497294702606984,7.0844840306394374e-06
0.1,qmc,2048,33,0.7497261011256153,2048,819200,0.7497294702606984,3.3691350830311606e-06
0.1,qmc,2048,34,0.7497288633161923,2048,819200,0.7497294702606984,6.069445060985501e-07
0.1,qmc,2048,35,0.7497213683639952,2048,819200,0.7497294702606984,8.101896703194278e-06
0.1,qmc,2048,36,0.7497279735767424,2048,819200,0.7497294702606984,1.4966839559926726e-06
0.1,qmc,2048,37,0.749722139642041,2048,819200,0.7497294702606984,7.330618657319654e-06
0.1,qmc,2048,38,0.7497276767597302,2048,819200,0.7497294702606984,1.7935009681835368e-06
0.1,qmc,2048,39,0.7497288322139678,2048,819200,0.7497294702606984,6.380467305611148e-07
0.433,mc,20000,0,0.7873270172486667,20000.0,8000000.0,0.7873408440495144,1.3826800847716036e-05
0.433,antithetic,10000,0,0.7873694964974977,20000.0,8000000.0,0.7873408440495144,2.8652447983223972e-05
0.433,cv,20000,0,0.7874261204038486,40000.0,16000000.0,0.7873408440495144,8.527635433419611e-05
0.433,qmc,128,0,0.7878157352772021,128,51200,0.7873408440495144,0.0004748912276876238
0.433,qmc,128,1,0.7877352754979359,128,51200,0.7873408440495144,0.0003944314484214395
0.433,qmc,128,2,0.787797902448856,128,51200,0.7873408440495144,0.0004570583993415145
0.433,qmc,128,3,0.7879297457085646,128,51200,0.7873408440495144,0.0005889016590501228
0.433,qmc,128,4,0.7873100064231786,128,51200,0.7873408440495144,3.083762633582232e-05
0.433,qmc,128,5,0.7873925335863805,128,51200,0.7873408440495144,5.168953686607303e-05
0.433,qmc,128,6,0.7875184369297765,128,51200,0.7873408440495144,0.00017759288026208964
0.433,qmc,128,7,0.7867131290227998,128,51200,0.7873408440495144,0.0006277150267146592
0.433,qmc,128,8,0.7866678992869014,128,51200,0.7873408440495144,0.0006729447626130369
0.433,qmc,128,9,0.7881435847266048,128,51200,0.7873408440495144,0.0008027406770904078
0.433,qmc,128,10,0.7871728410910268,128,51200,0.7873408440495144,0.00016800295848762303
0.433,qmc,128,11,0.7875904488406589,128,51200,0.7873408440495144,0.0002496047911444421
0.433,qmc,128,12,0.7869323666716065,128,51200,0.7873408440495144,0.00040847737790794536
0.433,qmc,128,13,0.7870116506370048,128,51200,0.7873408440495144,0.00032919341250958745
0.433,qmc,128,14,0.7869957486954988,128,51200,0.7873408440495144,0.0003450953540156121
0.433,qmc,128,15,0.7875205302580861,128,51200,0.7873408440495144,0.00017968620857167217
0.433,qmc,128,16,0.7877432921024325,128,51200,0.7873408440495144,0.00040244805291811403
0.433,qmc,128,17,0.7874899071325527,128,51200,0.7873408440495144,0.0001490630830383033
0.433,qmc,128,18,0.7885501885588733,128,51200,0.7873408440495144,0.001209344509358834
0.433,qmc,128,19,0.7877398973270409,128,51200,0.7873408440495144,0.00039905327752642883
0.433,qmc,128,20,0.7872145637658488,128,51200,0.7873408440495144,0.00012628028366568067
0.433,qmc,128,21,0.7873277748045013,128,51200,0.7873408440495144,1.3069245013097586e-05
