B,method,seed,estimate,work,degenerate,ess,wall_s,ref
15.0,plain_mc,3,0.00062,10000000,False,50000.0,0.05807483300304739,0.0006341026683676603
15.0,plain_mc,4,0.00078,10000000,False,50000.0,0.058707042000605725,0.0006341026683676603
15.0,plain_mc,5,0.00054,10000000,False,50000.0,0.05901320799966925,0.0006341026683676603
15.0,plain_mc,6,0.00074,10000000,False,50000.0,0.05981720899944776,0.0006341026683676603
15.0,plain_mc,7,0.00056,10000000,False,50000.0,0.059610625001369044,0.0006341026683676603
15.0,plain_mc,8,0.00036,10000000,False,50000.0,0.05851441599952523,0.0006341026683676603
15.0,plain_mc,9,0.00064,10000000,False,50000.0,0.05812904200138291,0.0006341026683676603
15.0,gpu_mlmc_is,0,0.0010703756729037238,10000000,False,112.13483603994982,0.1285580410003604,0.0006341026683676603
15.0,gpu_mlmc_is,1,0.0006331281620309067,10000000,False,24.36349509446015,0.12321174999669893,0.0006341026683676603
15.0,gpu_mlmc_is,2,0.0005928176044040006,10000000,False,12.710107761897918,0.12354958300056751,0.0006341026683676603
15.0,gpu_mlmc_is,3,0.0009166539693835999,10000000,False,94.17936013185295,0.12434483300239663,0.0006341026683676603
15.0,gpu_mlmc_is,4,0.0007435779737745144,10000000,False,31.08620822522493,0.12488149999990128,0.0006341026683676603
15.0,gpu_mlmc_is,5,0.0008164240553410536,10000000,False,33.50301833703238,0.12386479199994938,0.0006341026683676603
15.0,gpu_mlmc_is,6,0.0006500980608725727,10000000,False,36.881199129564436,0.12327441700108466,0.0006341026683676603
15.0,gpu_mlmc_is,7,0.000661981859644199,10000000,False,32.03078906257487,0.12406866699893726,0.0006341026683676603
15.0,gpu_mlmc_is,8,0.0008776884176991251,10000000,False,54.5251606958928,0.12343866700030048,0.0006341026683676603
15.0,gpu_mlmc_is,9,0.0013135763890346206,10000000,False,188.1556097581751,0.12357095799961826,0.0006341026683676603
15.0,ams,0,0.000675,1073153,False,2500.0,0.03339737500209594,0.0006341026683676603
15.0,ams,1,0.000645703125,1077398,False,2500.0,0.03167525000026217,0.0006341026683676603
15.0,ams,2,0.000612109375,1054947,False,2500.0,0.03048783299891511,0.0006341026683676603
15.0,ams,3,0.000611328125,1068014,False,2500.0,0.03170466699884855,0.0006341026683676603
15.0,ams,4,0.000547265625,1063142,False,2500.0,0.03117095899870037,0.0006341026683676603
15.0,ams,5,0.00067578125,1074546,False,2500.0,0.03217545900042751,0.0006341026683676603
15.0,ams,6,0.000616015625,1066691,False,2500.0,0.03111354200154892,0.0006341026683676603
15.0,ams,7,0.0006734375,1072449,False,2500.0,0.031409708000865066,0.0006341026683676603
15.0,ams,8,0.00059609375,1059319,False,2500.0,0.0311598749976838,0.0006341026683676603
15.0,ams,9,0.000663671875,1079371,False,2500.0,0.030657458999485243,0.0006341026683676603
15.0,cross_entropy,0,0.0007569013002616074,16000000,False,66.67494862269493,0.10536337500161608,0.0006341026683676603
15.0,cross_entropy,1,0.00069087434893491,16000000,False,51.15840764828779,0.10422050000124727,0.0006341026683676603
15.0,cross_entropy,2,0.0008564208698318565,16000000,False,117.4223932103672,0.10470845799864037,0.0006341026683676603
15.0,cross_entropy,3,0.0005241124590645871,16000000,False,46.5670946313381,0.10460779200002435,0.0006341026683676603
15.0,cross_entropy,4,0.0006216933740008457,16000000,False,32.69857127855984,0.1039810000002035,0.0006341026683676603
15.0,cross_entropy,5,0.0007931787934339194,16000000,False,77.1949310209757,0.1039939999973285,0.0006341026683676603
15.0,cross_entropy,6,0.0008983806967347448,16000000,False,98.14499204503569,0.103758666999056,0.0006341026683676603
15.0,cross_entropy,7,0.0006811464699186755,16000000,False,92.69205664475942,0.103397999999288,0.0006341026683676603
15.0,cross_entropy,8,0.0006845567973266045,16000000,False,74.52706658971917,0.10427500000150758,0.0006341026683676603
15.0,cross_entropy,9,0.0005396356457864944,16000000,False,5.114613873048733,0.10462020799968741,0.0006341026683676603
